Order ID,Order Date,Ship Mode,Customer ID,Customer Name,City,State,Product ID,Category,Sales
2017-152156,08/11/2017,2nd C,CG-12520,Claire Gute,Henderson,Kentucky,FUR-BO-11798,Furniture,261.96
2017-152156,08/11/2017,2nd C,CG-12520,Claire Gute,Henderson,Kentucky,FUR-CH-10454,Furniture,731.94
2017-138688,12/06/2017,2nd C,DV-13045,Darrin Van Huff,Los Angeles,California,OFF-LA-10240,Off.Supp.,14.62
2016-108966,11/10/2016,std,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,FUR-TA-10577,Furniture,957.5775
2016-108966,11/10/2016,std,SO-20335,Sean O'Donnell,Fort Lauderdale,Florida,OFF-ST-10760,Off.Supp.,22.368
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,FUR-FU-11487,Furniture,48.86
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,OFF-AR-12833,Off.Supp.,7.28
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,TEC-PH-12275,Technology,907.152
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,OFF-BI-13910,Off.Supp.,18.504
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,OFF-AP-12892,Off.Supp.,114.9
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,FUR-TA-11539,Furniture,1706.184
2015-115812,09/06/2015,std,BH-11710,Brosina Hoffman,Los Angeles,California,TEC-PH-12033,Technology,911.424
2018-114412,15/04/2018,std,AA-10480,Andrew Allen,Concord,North Carolina,OFF-PA-12365,Off.Supp.,15.552
2017-161389,05/12/2017,std,IM-15070,Irene Maddox,Seattle,Washington,OFF-BI-13656,Off.Supp.,407.976
2016-118983,22/11/2016,std,HP-14815,Harold Pawlan,Fort Worth,Texas,OFF-AP-12311,Off.Supp.,68.81
2016-118983,22/11/2016,std,HP-14815,Harold Pawlan,Fort Worth,Texas,OFF-BI-10756,Off.Supp.,2.544
2015-105893,11/11/2015,std,PK-19075,Pete Kriz,Madison,Wisconsin,OFF-ST-14186,Off.Supp.,665.88
2015-167164,13/05/2015,2nd C,AG-10270,Alejandro Grove,West Jordan,Utah,OFF-ST-10107,Off.Supp.,55.5
2015-143336,27/08/2015,2nd C,ZD-21925,Zuschuss Donatelli,San Francisco,California,OFF-AR-13056,Off.Supp.,8.56
